tid,algo,outlier_rate,missing_rate,seed,duration,fisher_dist,frobenius_rel,err_mu,n_iter,converged
106,MICE + SCM_robust,0.025,0.2,106,0.23513174057006836,3.005768627397141,0.5011561022390624,0.5852512119482983,,True
107,MICE + SCM_robust,0.025,0.2,107,0.16622567176818848,3.0967021493344684,0.5227216791672518,0.4814803025569629,,True
108,MICE + SCM_robust,0.025,0.2,108,0.11106300354003906,3.407396538589795,0.5395496649327923,0.3868014381283265,,True
109,MICE + SCM_robust,0.025,0.2,109,0.12466883659362793,3.5558470806131752,0.5726834689579625,0.3894340093565991,,True
110,MICE + SCM_robust,0.025,0.2,110,0.0702812671661377,3.2329095436764534,0.5530822406676514,0.5120629680311999,,True
111,MICE + SCM_robust,0.025,0.2,111,0.08975386619567871,3.0315685107652546,0.5309345348741777,0.5124500526268848,,True
112,MICE + SCM_robust,0.025,0.2,112,0.2329871654510498,3.6810614441782907,0.5594218306890267,0.576220399154989,,True
113,MICE + SCM_robust,0.025,0.2,113,0.06057548522949219,3.0874148765120895,0.5207982857188661,0.4531241196403002,,True
114,MICE + SCM_robust,0.025,0.2,114,0.09898114204406738,3.2106612938540384,0.5381146435204263,0.4203649433679304,,True
115,MICE + SCM_robust,0.025,0.2,115,0.1503920555114746,3.170212265728088,0.5342090559964258,0.4854847727715289,,True
116,MICE + SCM_robust,0.025,0.2,116,0.16945624351501465,3.4601143018432223,0.5532692480285966,0.5588441558105948,,True
117,MICE + SCM_robust,0.025,0.2,117,0.14516448974609375,3.401463746526887,0.5559069999712063,0.4526638993924112,,True
118,MICE + SCM_robust,0.025,0.2,118,0.12648439407348633,3.55437353658745,0.572988968022344,0.5683663920186826,,True
119,MICE + SCM_robust,0.025,0.2,119,0.09012651443481445,3.160783911514463,0.5407392472574454,0.6546352606723284,,True
120,MICE + SCM_robust,0.05,0.0,120,0.026635408401489258,3.110556958161092,0.5358069144002652,0.3269514480296757,,True
